Boys Participation,Boys School,Sheet Swap,Girls Participation,Girls School,Sport,State,Year
0,0,Boys,0,0,Adapted Basketball,AL,2018/2019
0,0,Boys,0,0,Adapted Bocce - Indoor,AL,2018/2019
0,0,Boys,0,0,Adapted Bowling,AL,2018/2019
0,0,Boys,0,0,Adapted Floor Hockey,AL,2018/2019
0,0,Boys,0,0,Adapted Soccer,AL,2018/2019
0,0,Boys,0,0,Adapted Softball,AL,2018/2019
0,0,Boys,0,0,Adapted Track,AL,2018/2019
0,0,Boys,0,0,Adapted Volleyball,AL,2018/2019
0,0,Boys,0,0,Adaptive Corn Toss,AL,2018/2019
0,0,Boys,0,0,Adaptive Golf,AL,2018/2019
0,0,Boys,0,0,Adaptive Handball,AL,2018/2019
0,0,Boys,0,0,Adaptive Strength Training,AL,2018/2019
0,0,Boys,0,0,Adaptive Tennis,AL,2018/2019
0,0,Boys,0,0,Air Riflery,AL,2018/2019
0,0,Boys,0,0,Archery,AL,2018/2019
0,0,Boys,0,0,Badminton,AL,2018/2019
14100,396,Boys,0,0,Baseball,AL,2018/2019
13648,413,Boys,8559,413,Basketball,AL,2018/2019
0,0,Boys,0,0,Bass Fishing,AL,2018/2019
0,0,Boys,0,0,Beach Volleyball,AL,2018/2019
0,0,Boys,0,0,Bocce - Outdoor,AL,2018/2019
731,108,Boys,610,97,Bowling,AL,2018/2019
0,0,Boys,0,0,Canoe Paddling,AL,2018/2019
0,0,Boys,0,0,Cheerleading,AL,2018/2019
0,0,Boys,0,0,Crew,AL,2018/2019
3804,258,Boys,2669,258,Cross Country,AL,2018/2019
0,0,Boys,0,0,Cycling,AL,2018/2019
0,0,Boys,0,0,Dance,AL,2018/2019
0,0,Boys,0,0,Dance/Drill,AL,2018/2019
0,0,Boys,0,0,"Dance Team, High Kick",AL,2018/2019
0,0,Boys,0,0,"Dance Team, Jazz",AL,2018/2019
88,30,Boys,0,0,Decathlon,AL,2018/2019
0,0,Boys,0,0,Drill Team,AL,2018/2019
0,0,Boys,0,0,Equestrian,AL,2018/2019
0,0,Boys,0,0,Fencing,AL,2018/2019
0,0,Boys,0,0,Field Hockey,AL,2018/2019
0,0,Boys,0,0,Figure Skating,AL,2018/2019
0,0,Boys,0,0,Flag Football,AL,2018/2019
32366,386,Boys,0,0,Football,AL,2018/2019
0,0,Boys,0,0,Football -- 6-player,AL,2018/2019
0,0,Boys,0,0,Football -- 8-player,AL,2018/2019
0,0,Boys,0,0,Football -- 9-player,AL,2018/2019
1690,288,Boys,784,242,Golf,AL,2018/2019
0,0,Boys,0,0,Gymnastics,AL,2018/2019
0,0,Boys,66,30,Heptathlon,AL,2018/2019
0,0,Boys,0,0,Ice Hockey,AL,2018/2019
0,0,Boys,0,0,Judo,AL,2018/2019
0,0,Boys,0,0,Kayaking,AL,2018/2019
0,0,Boys,0,0,Lacrosse,AL,2018/2019
0,0,Boys,0,0,Martial Arts,AL,2018/2019
0,0,Boys,0,0,Mixed 6-Coed Volleyball,AL,2018/2019
0,0,Boys,0,0,Mt. Biking,AL,2018/2019
0,0,Boys,0,0,Native Youth Olympics,AL,2018/2019
0,0,Boys,0,0,Riflery,AL,2018/2019
0,0,Boys,0,0,Rock Climbing,AL,2018/2019
0,0,Boys,0,0,Rodeo,AL,2018/2019
0,0,Boys,0,0,Roller Hockey,AL,2018/2019
0,0,Boys,0,0,Rugby,AL,2018/2019
0,0,Boys,0,0,Rythmic Gymnastics,AL,2018/2019
0,0,Boys,0,0,Sailing,AL,2018/2019
0,0,Boys,0,0,Sand Volleyball,AL,2018/2019
0,0,Boys,0,0,Skiing -- Alpine,AL,2018/2019
0,0,Boys,0,0,Skiing -- Cross Country,AL,2018/2019
0,0,Boys,0,0,Snowboarding,AL,2018/2019
6916,183,Boys,5434,172,Soccer,AL,2018/2019
0,0,Boys,9752,380,Softball,AL,2018/2019
0,0,Boys,0,0,Softball -- Slow Pitch,AL,2018/2019
0,0,Boys,0,0,Soft Tennis,AL,2018/2019
0,0,Boys,0,0,Squash,AL,2018/2019
0,0,Boys,0,0,Surfing,AL,2018/2019
742,58,Boys,882,72,Swimming & Diving,AL,2018/2019
0,0,Boys,0,0,Synchronized Swimming,AL,2018/2019
0,0,Boys,0,0,Team Tennis,AL,2018/2019
1504,170,Boys,1926,171,Tennis,AL,2018/2019
2728,167,Boys,2047,167,Track and Field -- Indoor,AL,2018/2019
8317,356,Boys,5962,356,Track and Field,AL,2018/2019
0,0,Boys,0,0,Trap Shooting,AL,2018/2019
0,0,Boys,0,0,Ultimate Frisbee,AL,2018/2019
0,0,Boys,0,0,Unified Flag Football,AL,2018/2019
0,0,Boys,0,0,Unified Track and Field -- Outdoor,AL,2018/2019
0,0,Boys,10310,392,Volleyball,AL,2018/2019
0,0,Boys,0,0,Water Polo,AL,2018/2019
0,0,Boys,0,0,Weight Lifting,AL,2018/2019
3080,116,Boys,0,0,Wrestling,AL,2018/2019
0,0,Boys,0,0,Adapted Basketball,AK,2018/2019
0,0,Boys,0,0,Adapted Bocce - Indoor,AK,2018/2019
0,0,Boys,0,0,Adapted Bowling,AK,2018/2019
0,0,Boys,0,0,Adapted Floor Hockey,AK,2018/2019
0,0,Boys,0,0,Adapted Football,AK,2018/2019
0,0,Boys,0,0,Adapted Soccer,AK,2018/2019
0,0,Boys,0,0,Adapted Softball,AK,2018/2019
